r_[m]	a_(ws=3.0)_[-]	a_(ws=4.0)_[-]	a_(ws=5.0)_[-]	a_(ws=6.0)_[-]	a_(ws=7.0)_[-]	a_(ws=8.0)_[-]	a_(ws=9.0)_[-]	a_(ws=10.0)_[-]	a_(ws=11.0)_[-]	a'_(ws=3.0)_[-]	a'_(ws=4.0)_[-]	a'_(ws=5.0)_[-]	a'_(ws=6.0)_[-]	a'_(ws=7.0)_[-]	a'_(ws=8.0)_[-]	a'_(ws=9.0)_[-]	a'_(ws=10.0)_[-]	a'_(ws=11.0)_[-]	Cn_(ws=3.0)_[-]	Cn_(ws=4.0)_[-]	Cn_(ws=5.0)_[-]	Cn_(ws=6.0)_[-]	Cn_(ws=7.0)_[-]	Cn_(ws=8.0)_[-]	Cn_(ws=9.0)_[-]	Cn_(ws=10.0)_[-]	Cn_(ws=11.0)_[-]	Ct_(ws=3.0)_[-]	Ct_(ws=4.0)_[-]	Ct_(ws=5.0)_[-]	Ct_(ws=6.0)_[-]	Ct_(ws=7.0)_[-]	Ct_(ws=8.0)_[-]	Ct_(ws=9.0)_[-]	Ct_(ws=10.0)_[-]	Ct_(ws=11.0)_[-]	Alpha_(ws=3.0)_[deg]	Alpha_(ws=4.0)_[deg]	Alpha_(ws=5.0)_[deg]	Alpha_(ws=6.0)_[deg]	Alpha_(ws=7.0)_[deg]	Alpha_(ws=8.0)_[deg]	Alpha_(ws=9.0)_[deg]	Alpha_(ws=10.0)_[deg]	Alpha_(ws=11.0)_[deg]	Cl_(ws=3.0)_[-]	Cl_(ws=4.0)_[-]	Cl_(ws=5.0)_[-]	Cl_(ws=6.0)_[-]	Cl_(ws=7.0)_[-]	Cl_(ws=8.0)_[-]	Cl_(ws=9.0)_[-]	Cl_(ws=10.0)_[-]	Cl_(ws=11.0)_[-]	Cd_(ws=3.0)_[-]	Cd_(ws=4.0)_[-]	Cd_(ws=5.0)_[-]	Cd_(ws=6.0)_[-]	Cd_(ws=7.0)_[-]	Cd_(ws=8.0)_[-]	Cd_(ws=9.0)_[-]	Cd_(ws=10.0)_[-]	Cd_(ws=11.0)_[-]	Vrel_(ws=3.0)_[m/s]	Vrel_(ws=4.0)_[m/s]	Vrel_(ws=5.0)_[m/s]	Vrel_(ws=6.0)_[m/s]	Vrel_(ws=7.0)_[m/s]	Vrel_(ws=8.0)_[m/s]	Vrel_(ws=9.0)_[m/s]	Vrel_(ws=10.0)_[m/s]	Vrel_(ws=11.0)_[m/s]
0.8250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7574	0.7615	0.7614	0.7613	0.7610	0.7614	0.7839	0.8045	0.8229	-0.6517	-0.6468	-0.6469	-0.6470	-0.6474	-0.6469	-0.6194	-0.5922	-0.5664	49.2907	49.6579	49.6474	49.6421	49.6105	49.6515	51.6869	53.6415	55.4616	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	3.3088	4.3986	5.4987	6.5987	7.7003	8.7974	9.7436	10.6798	11.6138
1.4750	0.1020	0.1000	0.1000	0.0999	0.1001	0.0999	0.0864	0.0739	0.0639	0.1163	0.1171	0.1172	0.1172	0.1171	0.1172	0.1235	0.1301	0.1369	1.0062	1.0183	1.0159	1.0198	1.0159	1.0182	1.0382	1.0405	1.0634	0.2175	0.2164	0.2149	0.2131	0.2115	0.2116	0.2026	0.1885	0.1746	29.2802	29.6894	29.7079	29.7137	29.6914	29.7289	32.7265	35.8216	38.6578	0.9830	0.9904	0.9874	0.9897	0.9858	0.9875	0.9810	0.9517	0.9370	0.3046	0.3188	0.3192	0.3229	0.3220	0.3237	0.3933	0.4584	0.5297	3.8785	5.1448	6.4294	7.7149	9.0028	10.2841	11.1626	11.9939	12.8287
2.1250	0.2097	0.2019	0.2014	0.2012	0.2016	0.2009	0.1450	0.1147	0.0974	0.1028	0.1022	0.1021	0.1021	0.1022	0.1021	0.0963	0.0972	0.1017	1.1488	1.1469	1.1389	1.1428	1.1372	1.1405	1.0249	0.9947	1.0100	0.2746	0.2733	0.2701	0.2677	0.2650	0.2657	0.2337	0.2178	0.2132	17.1022	17.6502	17.6926	17.7099	17.6869	17.7339	22.1537	25.9274	29.0893	1.1782	1.1749	1.1661	1.1690	1.1629	1.1662	1.0362	0.9887	0.9849	0.0801	0.0921	0.0936	0.0974	0.0979	0.0993	0.1730	0.2412	0.3067	4.6255	6.1303	7.6585	9.1888	10.7219	12.2479	13.1208	13.8603	14.5948
2.7750	0.2328	0.2307	0.2305	0.2303	0.2304	0.2302	0.1988	0.1458	0.1096	0.0680	0.0689	0.0690	0.0690	0.0690	0.0691	0.0744	0.0712	0.0680	1.0896	1.0976	1.0979	1.0998	1.0984	1.0995	1.1472	1.0636	0.9889	0.2024	0.2080	0.2088	0.2090	0.2088	0.2092	0.2596	0.2543	0.2276	11.8139	12.0824	12.1139	12.1283	12.1195	12.1406	15.1039	19.3079	23.0163	1.1080	1.1168	1.1173	1.1192	1.1177	1.1189	1.1751	1.0873	0.9986	0.0256	0.0270	0.0269	0.0275	0.0272	0.0275	0.0497	0.1132	0.1782	5.5190	7.3042	9.1223	10.9438	12.7692	14.5857	15.3938	16.0607	16.7215
3.4250	0.2185	0.2176	0.2175	0.2174	0.2175	0.2174	0.2059	0.1794	0.1400	0.0437	0.0444	0.0445	0.0445	0.0445	0.0446	0.0514	0.0564	0.0556	0.9428	0.9568	0.9584	0.9594	0.9589	0.9599	1.0746	1.1428	1.0951	0.1370	0.1422	0.1430	0.1431	0.1431	0.1435	0.1964	0.2528	0.2654	9.2737	9.4748	9.5005	9.5134	9.5076	9.5217	11.5960	14.4615	17.8588	0.9526	0.9672	0.9689	0.9699	0.9694	0.9704	1.0922	1.1697	1.1235	0.0170	0.0176	0.0176	0.0178	0.0176	0.0177	0.0241	0.0413	0.0837	6.4866	8.5809	10.7144	12.8528	14.9958	17.1291	17.9138	18.4712	19.0539
4.0750	0.2514	0.2514	0.2515	0.2514	0.2515	0.2515	0.2461	0.2140	0.1815	0.0343	0.0350	0.0351	0.0351	0.0351	0.0351	0.0416	0.0460	0.0490	0.9464	0.9614	0.9653	0.9661	0.9656	0.9666	1.1259	1.2137	1.2561	0.0998	0.1039	0.1048	0.1049	0.1050	0.1052	0.1552	0.2160	0.2693	6.4781	6.6253	6.6440	6.6561	6.6520	6.6617	8.3022	10.9532	13.7116	0.9516	0.9670	0.9710	0.9717	0.9712	0.9723	1.1365	1.2326	1.2841	0.0074	0.0076	0.0076	0.0078	0.0077	0.0078	0.0094	0.0192	0.0367	7.4752	9.8859	12.3420	14.8045	17.2719	19.7294	20.5180	21.0186	21.5287
4.7250	0.2364	0.2366	0.2368	0.2366	0.2368	0.2367	0.2357	0.2220	0.1895	0.0247	0.0252	0.0253	0.0253	0.0253	0.0253	0.0303	0.0356	0.0381	0.8401	0.8546	0.8574	0.8584	0.8587	0.8599	1.0152	1.1718	1.2245	0.0741	0.0774	0.0780	0.0782	0.0782	0.0784	0.1187	0.1758	0.2284	5.5374	5.6647	5.6831	5.6940	5.6901	5.6985	7.1117	9.0783	11.5683	0.8434	0.8581	0.8610	0.8619	0.8622	0.8634	1.0221	1.1849	1.2454	0.0071	0.0072	0.0072	0.0074	0.0074	0.0074	0.0081	0.0117	0.0222	8.5032	11.2444	14.0365	16.8362	19.6416	22.4366	23.2521	23.6882	24.1470
5.3750	0.2268	0.2271	0.2273	0.2271	0.2273	0.2272	0.2270	0.2204	0.1971	0.0187	0.0190	0.0191	0.0191	0.0191	0.0191	0.0230	0.0276	0.0305	0.7644	0.7779	0.7805	0.7817	0.7818	0.7825	0.9293	1.0978	1.1961	0.0581	0.0608	0.0613	0.0615	0.0615	0.0617	0.0953	0.1449	0.1969	4.8843	4.9979	5.0149	5.0263	5.0226	5.0300	6.3146	7.9696	10.0269	0.7666	0.7803	0.7829	0.7841	0.7842	0.7849	0.9341	1.1073	1.2121	0.0070	0.0071	0.0071	0.0072	0.0072	0.0072	0.0077	0.0090	0.0146	9.5450	12.6216	15.7544	18.8961	22.0441	25.1814	26.0344	26.4296	26.8389
6.0250	0.2210	0.2212	0.2214	0.2211	0.2214	0.2213	0.2209	0.2156	0.2018	0.0147	0.0149	0.0150	0.0150	0.0150	0.0150	0.0180	0.0217	0.0249	0.7105	0.7228	0.7251	0.7263	0.7262	0.7269	0.8648	1.0286	1.1649	0.0478	0.0501	0.0505	0.0507	0.0507	0.0508	0.0796	0.1227	0.1724	4.4208	4.5250	4.5411	4.5522	4.5487	4.5554	5.7427	7.2478	8.9355	0.7121	0.7245	0.7268	0.7280	0.7279	0.7287	0.8685	1.0359	1.1776	0.0070	0.0070	0.0070	0.0071	0.0071	0.0071	0.0075	0.0083	0.0108	10.5972	14.0127	17.4898	20.9769	24.4711	27.9542	28.8509	29.2176	29.5868
6.6750	0.2170	0.2171	0.2173	0.2170	0.2172	0.2172	0.2160	0.2108	0.2008	0.0118	0.0120	0.0121	0.0121	0.0121	0.0121	0.0145	0.0175	0.0203	0.6702	0.6817	0.6839	0.6850	0.6849	0.6856	0.8153	0.9720	1.1167	0.0408	0.0427	0.0431	0.0433	0.0432	0.0434	0.0686	0.1065	0.1517	4.0803	4.1762	4.1914	4.2022	4.1988	4.2049	5.3130	6.7092	8.1988	0.6714	0.6830	0.6852	0.6864	0.6862	0.6869	0.8182	0.9778	1.1269	0.0070	0.0070	0.0070	0.0071	0.0071	0.0071	0.0073	0.0079	0.0093	11.6575	15.4147	19.2387	23.0739	26.9170	30.7484	31.6936	32.0378	32.3789
